Abstract,Task 1
"It involves, quality of service, security, resource management, cost management, incident identification, disaster avoidance and/or recovery, as well as many other concerns.",BACKGROUND
"However, many other popular languages such as XSL or XML have received minor attention.",BACKGROUND
"It can be seen that, under stability of the blended dynamics, the initial conditions of individual agents are forgotten as time goes on, and thus, the behavior of the synthesized multi-agent system are initialization-free and suitable for plug-and-play operation.",RESULTS
"The results highlight our system's capabilities for both segmentation and for analysis of the finer structures of motion data, all in a completely unsupervised manner.",RESULTS
"This global approach comes equipped with notions such as completeness, compactness, curves, and geodesics, which we explore throughout this paper.",RESULTS
"Finally, based on strong computational evidence, we conjecture the optimality of the ""Leveling"" heuristic in a special ""no information"" case, where at any retrieval stage, any of the remaining containers is equally likely to be retrieved next.",RESULTS
"Due to time, cost and other circumstances, exhaustive testing is not feasible that's why there is a need to automate the software testing process.",BACKGROUND
"To address this problem, we propose a novel Automatic Hard Negative Mining method to eliminate easy negatives and enhance positives.",METHODS
"I apply three tree priors---Uniform, Fossilized Birth-Death (FBD), and Coalescent---to five publicly available datasets of the Indo-European language family.",METHODS
"With the fast-growing economy in the past ten years, cities in China have experience great changes, meanwhile, huge volume of urban grid management data has been recorded.",BACKGROUND
"Specifically, we designed a NetFlow-compatible format due to the capability of a a large body of network devices, such as routers and switches, to export NetFlow records from raw traffic.",METHODS
"With the synthetic data, we find that our model-agnostic PPAN approach achieves tradeoff points very close to the optimal tradeoffs that are analytically-derived from model knowledge.",RESULTS/CONCLUSIONS
"They accelerate and stabilize training, while decreasing the dependence on manually tuned learning rate schedules.",BACKGROUND
"To keep high productivity and efficiency of the fabrication process, engineers need to monitor the real-time process of CNC machines, and the lifetime management of machine tools.",BACKGROUND/OBJECTIVES
Autoencoders (AE) are generative stochastic networks with these desired properties.,BACKGROUND
"However, most of the deep learning architectures are vulnerable to so called adversarial examples.",BACKGROUND
"There exist upper bounds on the number of power flow solutions; however, there is only limited work regarding bounds that are functions of network topology.",BACKGROUND/OBJECTIVES
In this paper we propose such a model for evolution of social networks.,METHODS
This slows down their convergence because hypotheses drawn from a minimal set of noisy inliers can deviate significantly from the optimal model.,BACKGROUND
The Generalised Directional Laplacian Distribution (DLD) is a hybrid between the Laplacian distribution and the von Mises-Fisher distribution.,METHODS
"Finally, it is PSPACE-complete to distinguish whether the Markov chain is close to stationarity by time t or far from being mixed at time ct for c at least 1.",RESULTS
"Throughout, we emphasize the many natural connections between ML and statistical physics.",RESULTS
The lower bound inspires us how placement and delivery affect the rate memory tradeoff.,METHODS
Human action recognition in 3D skeleton sequences has attracted a lot of research attention.,BACKGROUND
Then we use a knowledge graph based collective inference algorithm to fill in the template with specific named entities retrieved via the hashtags.,METHODS
"Our results suggest that IoT users can be classified into unconcerned, fundamentalists and pragmatists.",RESULTS
"In this paper, we present a fuzzy-based approach for analyzing the well being of a person.",OBJECTIVES/METHODS
This method recycles a selected subspace of the search space (called recycle space) after a restart.,BACKGROUND/METHODS
"We find that domain-adapted and scaled social media-based measurements of stress outperform sociodemographic variables (age, gender, race, education, and income), against ground-truth survey-based stress measurements, both at the user- and the county-level in the U.S. Twitter language that scores higher in stress is also predictive of poorer health, less access to facilities and lower socioeconomic status in counties.",RESULTS
We propose a variation of Histogram of Gradients (HOG) and Gabor filter combination called Histogram of Oriented Texture (HOT) that exploits this fact.,METHODS
"Recently, arithmetic coding has attracted the attention of many scholars because of its high compression capability.",BACKGROUND
"Though notable improvements have been made in these areas, the reordering problem still remains a challenge in statistical machine translations.",BACKGROUND
The approach exploits all software identifiers to label software code.,METHODS
There is always more than one ontology for the same domain.,BACKGROUND
"In this paper, we proposed a novel Probabilistic Attribute Tree-CNN (PAT-CNN) to explicitly deal with the large intra-class variations caused by identity-related attributes, e.g., age, race, and gender.",OBJECTIVES
"Examples of such systems include a swarm of robots pushing an object over a surface, a swarm of aerial vehicles carrying a large load, or a set of end effectors manipulating an object.",BACKGROUND
These studies have encountered the following dilemma: An end-to-end classification overfits to a small number of high-dimensional samples but unsupervised feature-extraction has the risk of extracting a signal of no interest.,OBJECTIVES
"It performs dependency parsing, identifies the words that evoke lexical frames, locates the roles and fillers for each frame, runs coercion techniques, and formalises the results as a knowledge graph.",METHODS
"), and vanilla forecasters cannot learn from examples until the outcome is observed.",BACKGROUND
We characterize the finite sets S of words such that that the iterated shuffle of S is co-finite and we give some bounds on the length of a longest word not in the iterated shuffle of S.,RESULTS
This paper also systematically evaluates Intel's existing countermeasures against SgxPectre Attacks and discusses the security implications.,OTHERS
"Numerous methods, datasets and evaluation metrics have been proposed in the literature, calling the need for a comprehensive survey to focus research efforts in this flourishing new direction.",OBJECTIVES
This paper presents a novel concurrent non-blocking algorithm to implement a dynamic unbounded directed graph in a shared-memory machine.,BACKGROUND/OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
Identifying the occurrence of congestion in a Mobile Ad-hoc Network (MANET) is a major task.,OBJECTIVES
A very common assumption in the use of this method is that the gradient of the smooth term is globally Lipschitz continuous.,BACKGROUND
"We, therefore, reduce the computation overheads and achieve faster response times without adversely affecting the quality of results.",RESULTS/CONCLUSIONS
"To capture the spatio-temporal dependencies in these videos, we choose as our model a combination of a Convolutional Neural Network (CNN) and Long Short-Term Memory (LSTM) network.",METHODS
"Ideally, systems that learn from temporal data should be able to operate in an incremental mode, that is, revise prior constructed knowledge in the face of new evidence.",OBJECTIVES
"However, previous methods for image aesthetics analysis have primarily focused on the coarse, binary categorization of images into high- or low-aesthetic categories.",BACKGROUND
These developments are incorporated within our LibNT and NTToolbox software libraries.,METHODS
"Explaining the fractal structure of the spacetime diagrams of cellular automata is a much explored topic, but virtually all of the results revolve around a special class of automata, whose typical features include irreversibility, an alphabet with a ring structure, a global evolution that is a ring homomorphism, and a property known as (weakly) p-Fermat.",BACKGROUND/OBJECTIVES
"In this work, we use various classification techniques to identify the culprit in a cyberattack and find that deceptive activities account for the majority of misclassified samples.",OBJECTIVES
"Yet, through experiments on ten distinct NLI datasets, we find that this approach, which we refer to as a hypothesis-only model, is able to significantly outperform a majority class baseline across a number of NLI datasets.",RESULTS
"Whereas conventional decision trees branch on attribute values (and usually perform poorly on time series), Proximity Trees branch on the proximity of time series to one exemplar time series or another; allowing us to leverage the decades of work into developing relevant measures for time series.",METHODS
"By showing the evolution of name ethnicity from 1936 to 2010, we discover that ethnicity diversity has increased significantly over time and that different research communities in certain publication venues have different ethnicity compositions.",RESULTS
"Since AlexNet, increasingly more advanced networks have achieved state-of-the-art performance in computer vision, speech recognition, language processing, game playing, medical imaging, and so on.",BACKGROUND
This probabilistic formulation allows us to go beyond point estimates of parameters and to perform Bayesian posterior inference.,METHODS/RESULTS/CONCLUSIONS
"We followed the Demsar analysis and found that the three best classifiers (random forest, gbm and RBF SVM) are not significantly different from each other.",METHODS/RESULTS
"Subsequently, the learned representations are utilized and transferred in four scenarios: (i) measuring the similarity between items, (ii) transferring from seen items to unseen items, (iii) transferring across different domains, (iv) transferring across different tasks.",RESULTS/CONCLUSIONS
"Recently, online companies such as Zillow have developed proprietary systems that provide automated estimates of housing prices without the immediate need of professional appraisers.",BACKGROUND
This paper presents text normalization which is an integral part of any text-to-speech synthesis system.,BACKGROUND
Applications to nonlinear systems are provided: simple and easily checkable sufficient conditions are proposed to guarantee the existence of a smooth globally stabilizing feedback law.,METHODS/RESULTS
Experiments on measuring multiple echoes of the targets at precise range bins confirm the applicability of the proposed method.,RESULTS/CONCLUSIONS
Determining which items to bid on or what may be the recommended bid and when to bid it are difficult questions to answer for online auction participants.,OBJECTIVES/METHODS/RESULTS
"Neural network or artificial neural network (NN), the main technique behind DL, has been extensively studied to facilitate computer vision and natural language recognition.",BACKGROUND
"In addition, we continue to learn new things over time.",BACKGROUND
A Petri net is structurally cyclic if every configuration is reachable from itself in one or more steps.,OBJECTIVES
"In this paper, we design a simple convolutional neural network architecture that is able to learn to compute dense disparity maps directly from the stereo inputs.",OBJECTIVES
Experiments show that adding the GAN-generated data effectively improves the discriminative ability of learned CNN embeddings.,CONCLUSIONS
"We present the Variable Structure Multiple Hidden Markov Model (VSM-HMM) as a framework for localizing in the presence of topological uncertainty, and demonstrate its effectiveness on an AV where lane membership is modeled as a topological localization process.",RESULTS
The classification performance increased along with the number of subjects used for training.,RESULTS
"In this paper, we will take a look at various signal processing techniques and then application of them to produce a speech-to-text system using Deep Recurrent Neural Networks.",OBJECTIVES
We also give a description of the type of initial posts that are more likely to attract this valuable social feedback.,RESULTS
This paper provides an off-line demonstration of the algorithm and considers issues related to the extension of the algorithm to real-time applications.,CONCLUSIONS
We empirically show that our learning architecture improves over traditional softmax regression networks as well as state-of-the-art attentional regression networks on one-shot recognition tasks.,RESULTS/CONCLUSIONS
"Finally, we show that our kernelization algorithm can be used to accelerate existing state-of-the-art heuristic algorithms, allowing us to find larger independent sets faster on large real-world networks and synthetic instances.",RESULTS
"Even though novel adversary challenges would keep coming up derived from the versatile nature of written language, we anticipate that techniques combining machine learning and text pattern recognition methods, each one targeting different layers of linguistic features, would be needed to achieve robust detection of toxic language, thus fostering aggression--free digital interaction.",CONCLUSIONS
"That fact is already known for correlations as well as for communication, and we here extend it to computation.",RESULTS/CONCLUSIONS
Some of the corresponding attacks are state of the art.,CONCLUSIONS
Network pruning is widely used for reducing the heavy computational cost of deep models.,BACKGROUND
Each expert learns a customized regression model that is specialized to a different subset of the joint space of pose and expressions.,METHODS
Our findings indicate that only adoption of CI might not be enough to the improve software development process.,RESULTS
Our results shed light on increasing sparsity behavior of propagation channels with increasing frequency and highlight the strong temporal/angular correlation among  [NUM]  GHz and 28 GHz bands especially for LOS channels.,RESULTS/CONCLUSIONS
Health related social media mining is a valuable apparatus for the early recognition of the diverse antagonistic medicinal conditions.,BACKGROUND
"An efficient 3D reconstruction algorithm is used, by which multiple scans are aligned together to obtain a 3D mesh of the plant, followed by surface area and volume computations.",METHODS
We also compute relative GRO-indexes (GROr) associated with the scientific production within research fields.,METHODS
We analyze the source of these vulnerabilities and present methodologies to mitigate the attacks.,METHODS
"Introducing an adaptive mechanism to the traditional, fixed-parameter model of PageRank greatly improves the accuracy of protein function prediction.",CONCLUSIONS
"Using numerical simulations, we illustrate the problems that arise from existing results in the literature -- as unwinding and chattering -- and verify the effectiveness of the proposed controller to solve the robust global pose stability problem.",METHODS/RESULTS/CONCLUSIONS
This margin is expected to be amplified as the aggregated size of DESSs increases.,CONCLUSIONS
"The learned representation is able to effectively summarize not only the apparent features, but also the underlying and high-level style information.",OBJECTIVES/RESULTS/CONCLUSIONS
Our results confirm the benefits of using unpaired text across a range of methods and data sets.,RESULTS
Matching feature distributions between different domains is a widely applied method for the aforementioned task.,BACKGROUND
"Similarly, hierarchical generation is not found to improve human evaluation scores.",RESULTS
"We start with the microscopic equations, which state the probability to find a particle at a given lattice site.",METHODS
The study is applied to a simple part.,METHODS
"Getting results for 4-vertex patterns is highly challenging, and there are few practical results known that can scale to massive sizes.",BACKGROUND/OBJECTIVES
"On the other hand, diagnosis codes on babies' records provide fine-grained information on prematurity.",METHODS
Some of these improvements result from formulating the problem with maximum satisfiability (MaxSAT).,BACKGROUND
"Furthermore, a suboptimal H-infinity controller is also provided to make the attenuation level as small as possible, which can be obtained via a local optimization algorithm that treats the BMI as double linear matrix inequality.",RESULTS
"Glaucoma is a disease in which the optic nerve is chronically damaged by the elevation of the intra-ocular pressure, resulting in visual field defect.",BACKGROUND
We evaluate this new approach on several webgraphs and compare its performance with that of the current best similarity-based algorithms.,METHODS
We experimentally demonstrate the efficacy and robustness of this framework for multiple quadrocopters maneuvering in a 2D or 3D workspace.,RESULTS/CONCLUSIONS
"The magnitude of the tuning or the amplitude of the voltage presented here, is being controlled by means of two variable resistors.",METHODS
Theoretical analysis of the error landscape of deep neural networks has garnered significant interest in recent years.,BACKGROUND
"We also explore the use of different context windows around each token, which are able to capture important elements, such as affixes.",METHODS
We empirically demonstrate that the recognition of objects and scenes substantially contributes to the recognition of events.,RESULTS
"While the original graph yields results which are not linguistically interpretable, the modification reveals meaningful relations among the languages.",RESULTS
"Storms and other severe weather events can result in fatalities, injuries, and property damage.",BACKGROUND
"The model, implemented as a Gibbs sampler, then builds a whole-word acoustic model in this space while jointly performing segmentation.",METHODS
"Using the proposed LSM algorithm, the cloud can predict the users' content request distribution while having only limited information on the network's and users' states.",METHODS
The image is first decomposed into regions using Selective Search and these regions are classified as containing textual and/or graphical information using a convolutional neural network.,METHODS
"We have also evaluated a contemporary method, deadline monotonic scheduling on the ISA  [NUM] a.",METHODS
"In this paper, we propose to quantify how changes in the spatial dependence structure affect the Riemannian metric tensor that equips the model's parametric space.",OBJECTIVES
"By transporting feature maps through concatenating connections, the Tree-CNN block fuses multiscale features and learns best weights for the model.",METHODS
Energy price forecasting is a relevant yet hard task in the field of multi-step time series forecasting.,BACKGROUND
In our assumption random walker can also jump to node which is already popular but recently not popular.,METHODS
"The model is based on an affordance network, i.e., a mapping between robot actions, robot perceptions, and the perceived effects of these actions upon objects.",METHODS
"Results show that the proposed framework can not only speed up grasp planning with more stable configurations, but also is able to handle unknown objects.",RESULTS
All results indicate that most cloud service categories seem to foster vendor lock-in situations which might be especially problematic for enterprise architectures.,RESULTS
We investigate the status of these features and discuss how they might be implemented in the dominant Microsoft Excel spreadsheet and in the new Google Spreadsheet.,METHODS
"To our knowledge, this is the first report of an online fNIRS 3-class imagined speech BCI.",RESULTS/CONCLUSIONS
"Based on this, we develop a spatial attention mechanism that enables the network to attend to regions containing objects that are correlated with the activity under consideration.",METHODS
"We call the distribution to which the inference model maps observed samples, the learned latent distribution, which may not be consistent with the prior.",OBJECTIVES
This article presents two area/latency optimized gate level asynchronous full adder designs which correspond to early output logic.,BACKGROUND/METHODS
"We demonstrate the feasibility of this approach with four physiological circuits, for which we confirm the correspondence between DC and lack of SI.",RESULTS
"Also, majority of the existing state of art techniques often tend to falsely match similar genuine objects as copy move forged during the detection process.",RESULTS
"The implementation of Typed Scheme additionally borrows elements from a range of approaches, including recursive types, true unions and subtyping, plus polymorphism combined with a modicum of local inference.",METHODS
Long-range video may consist of spatiotemporal correlation over arbitrary times.,BACKGROUND
"We execute a template binary function with its test cases, and emulate the execution of every target function for clone comparison with the runtime information migrated from that template function.",METHODS
We describe how introductory and second courses can integrate two key precursors to data science: the use of reproducible analysis tools and access to large databases.,RESULTS
Recently deep learning based recommendation systems have been actively explored to solve the cold-start problem using a hybrid approach.,BACKGROUND
Both NMT models are expected to be improved and better pseudo-training data can be generated in next step.,METHODS
This paper describes a methodology of applying discourse relations between sentences when processing text documents related to the legal domain.,OBJECTIVES
We focus on several datasets and various perturbations to both covariates and label distributions with varying magnitudes and fractions of data affected.,METHODS
"Authors, in the current work have defined internationality as a measure of influence that transcends across geographic boundaries.",METHODS
"To our knowledge, this is the first competitive ratio strictly larger than 1-1/e for an online bipartite matching problem achieved under the randomized primal-dual framework.",BACKGROUND/RESULTS
"While this result has been proved in the standard discrete-time model of quantum computation, it also holds for continuous-time (or Hamiltonian-based) quantum computation, due to a known equivalence between these two query complexity models.",BACKGROUND
In this paper we present an empirical study evaluating such proposals assessing their usage to query spreadsheets.,OBJECTIVES
A general option pricing algorithm is obtained based on Monte Carlo simulation.,METHODS/RESULTS
"Here, the fleet size is minimized in the first phase of the proposed method using the parallel heuristic algorithm (PHA), and the traveled distance is minimized in the second phase by the parallel memetic algorithm (PMA).",METHODS
"It was compared with several well-performed traditional methods and the results revealed that the new algorithm stands out with several beneficial features, namely, the fastest processing, the ability to enhance the desired details, the excellent illumination normalization capability and the ability to enhance details where the traditional methods failed.",CONCLUSIONS
The need for wireless communication has driven the communication systems to high performance.,BACKGROUND
"With this strategy, we hope to increase the accuracy of solutions with minimal losses in execution time.",OTHERS
The results demonstrate the effectiveness of our proposed approach for robust object detection in various domain shift scenarios.,CONCLUSIONS
"Terms such as ""critical mass' and ""metrics"" are often bandied about without proper understanding of what they actually mean.",BACKGROUND
"Although common practice in designing nested control systems is to maximize the bandwidth of the inner loop to improve tracking performance, it may not be the most suitable approach when a certain range of impedance parameters has to be rendered.",BACKGROUND
A strategy profile is said to be envy-proof if each player cannot gain a competitive edge with respect to the change in utility over the other players by deviation.,OBJECTIVES
Survey authors write their surveys in a lightweight domain-specific language aimed at end users.,OBJECTIVES/METHODS
"To alleviate this, we propose stochastic gradient estimators that control this bias by performing additional computation in a `buffer' to reduce breaking dependencies.",METHODS
In this chapter we survey methods to guarantee uniqueness in Fourier phase retrieval.,OBJECTIVES
The proposed algorithm is evaluated using synthetic and real world data and shows substantial speedups compared to deterministic HALS.,RESULTS
